Rank,Batsman,In Strength,PageRank Score,Batting Average
352,KV Sharma,14.40921,0.00065,8.775
353,R Dhawan,8.73006,0.00054,8.75
354,B Sumanth,1.38732,0.00045,8.75
355,Ankit Sharma,3.70151,0.00046,8.7
356,TL Seifert,1.04183,0.00044,8.66667
357,MD Shanaka,0.88244,0.00044,8.66667
358,Sunny Singh,1.47725,0.00044,8.6
359,R Ashwin,29.71651,0.00103,8.51064
360,OF Smith,1.92706,0.00045,8.5
361,A Choudhary,0.90342,0.00044,8.33333
362,S Chanderpaul,1.12176,0.00044,8.33333
363,SN Thakur,12.38048,0.00059,8.2973
364,KK Cooper,4.8259,0.00047,8.28571
365,S Gopal,7.32142,0.00051,8.18182
366,AS Yadav,1.72507,0.00045,8.16667
367,AB Agarkar,7.78792,0.00051,8.13636
368,GD Phillips,2.21977,0.00045,8.125
369,J Yadav,1.33787,0.00044,8.0
370,CJ McKay,0.28325,0.00044,8.0
371,OC McCoy,0.39499,0.00044,8.0
372,MA Khote,0.9001,0.00044,8.0
373,Mohammad Hafeez,2.63373,0.00045,8.0
374,P Chopra,0.34379,0.00044,8.0
375,JC Archer,8.36952,0.00051,7.96
376,NS Naik,1.20417,0.00044,7.75
377,BMAJ Mendis,0.95356,0.00044,7.66667
378,J Arunkumar,1.45392,0.00044,7.66667
379,SP Jackson,2.52484,0.00045,7.625
380,Virat Singh,0.5597,0.00044,7.5
381,JL Pattinson,0.7247,0.00044,7.5
382,WPUJC Vaas,3.25131,0.00046,7.36364
383,HE van der Dussen,0.83718,0.00044,7.33333
384,SA Abbott,0.80937,0.00044,7.33333
385,R Rampaul,2.06004,0.00045,7.28571
386,Sohail Tanvir,1.44382,0.00045,7.2
387,DL Vettori,4.95755,0.00048,7.11765
388,M Kartik,4.93601,0.00047,7.0625
389,AJ Tye,3.32844,0.00046,7.0
390,B Indrajith,0.77433,0.00044,7.0
391,V Viyaskanth,0.33622,0.00044,7.0
392,J Suchith,2.87376,0.00045,7.0
393,MDKJ Perera,0.55464,0.00044,7.0
394,UA Birla,0.29849,0.00044,7.0
395,WA Mota,2.22621,0.00045,7.0
396,I Malhotra,0.25073,0.00044,7.0
397,R Bhatia,13.31879,0.00062,6.97959
398,B Akhil,3.46369,0.00045,6.90909
399,SK Warne,7.08411,0.0005 ,6.82759
400,LH Ferguson,2.7908,0.00045,6.8
401,L Ronchi,1.14318,0.00044,6.8
402,PP Chawla,24.059,0.00089,6.78261
403,Iqbal Abdulla,3.99724,0.00047,6.76923
404,R Vinay Kumar,12.50506,0.0006 ,6.73913
405,RR Powar,2.85094,0.00045,6.7
406,A Mishra,15.62782,0.00068,6.68421
407,Rasikh Salam,1.698,0.00045,6.66667
408,NJ Maddinson,0.82436,0.00044,6.66667
409,K Rabada,7.57778,0.00051,6.64516
410,AD Mascarenhas,2.86752,0.00045,6.58333
411,B Lee,5.89459,0.00049,6.52632
412,CR Woakes,3.25116,0.00046,6.5
413,DT Patil,0.53464,0.00044,6.5
414,DR Shorey,0.44326,0.00044,6.5
415,R Sai Kishore,0.37634,0.00044,6.5
416,RJ Peterson,1.27989,0.00044,6.4
417,KB Arun Karthik,2.1027,0.00045,6.375
418,MJ Santner,2.98696,0.00045,6.36364
419,Akash Deep,0.68652,0.00044,6.33333
420,R Bishnoi,0.5598,0.00044,6.33333
421,CJ Jordan,3.28368,0.00046,6.23077
422,MA Starc,4.32725,0.00047,6.17647
423,JD Unadkat,8.17226,0.00052,6.15625
424,DL Chahar,3.16266,0.00046,6.15385
425,SB Bangar,1.88501,0.00045,6.125
426,TG Southee,4.99657,0.00048,6.0
427,PSP Handscomb,0.24111,0.00044,6.0
428,Saurav Chauhan,0.75723,0.00044,6.0
429,K Upadhyay,0.52436,0.00044,6.0
430,JJ van der Wath,0.6806,0.00044,6.0
431,AN Ahmed,1.10877,0.00044,6.0
432,DG Nalkande,0.26086,0.00044,6.0
433,Sumit Kumar,0.76159,0.00044,6.0
434,Joginder Sharma,1.60689,0.00045,6.0
435,DM Bravo,0.21506,0.00044,6.0
436,SS Shaikh,0.24764,0.00044,6.0
437,HV Patel,10.06142,0.00055,5.92857
438,MS Gony,3.95459,0.00047,5.82353
439,J Syed Mohammad,1.27386,0.00044,5.8
440,P Kumar,13.38372,0.00063,5.76271
441,Swapnil Singh,2.14574,0.00045,5.66667
442,JA Richardson,0.63863,0.00044,5.66667
443,RJ Harris,4.42227,0.00047,5.57143
444,AUK Pathan,1.63412,0.00045,5.57143
445,MG Johnson,6.60467,0.0005 ,5.56667
446,RV Gomez,2.01014,0.00045,5.55556
447,Kuldeep Yadav,7.62011,0.00052,5.54545
448,T Henderson,0.45007,0.00044,5.5
449,DNT Zoysa,0.70285,0.00044,5.5
450,RA Bawa,0.47743,0.00044,5.5
451,Yudhvir Singh,0.74675,0.00044,5.5
452,M Ntini,1.07317,0.00044,5.5
453,M Morkel,5.24226,0.00048,5.47826
454,RD Chahar,4.73828,0.00047,5.375
455,PVD Chameera,1.98583,0.00045,5.375
456,YV Dhull,0.56724,0.00044,5.33333
457,CK Kapugedera,0.79306,0.00044,5.33333
458,KS Sharma,0.61819,0.00044,5.33333
459,DE Bollinger,0.74418,0.00044,5.25
460,TU Deshpande,0.87299,0.00044,5.25
461,NA Saini,1.29675,0.00044,5.16667
462,PWH de Silva,2.93925,0.00046,5.14286
463,M Jansen,2.73421,0.00045,5.07692
464,Sanvir Singh,1.80979,0.00045,5.0
465,AC Thomas,0.9535,0.00044,5.0
466,Mohsin Khan,1.05002,0.00044,5.0
467,TD Paine,0.40971,0.00044,5.0
468,KMDN Kulasekara,0.17688,0.00044,5.0
469,Arshad Khan (2),0.2757,0.00044,5.0
470,B Stanlake,0.14218,0.00044,5.0
471,S Aravind,2.4037,0.00045,4.91667
472,NM Coulter-Nile,3.3145,0.00046,4.82353
473,KC Cariappa,1.57336,0.00045,4.8
474,R Shukla,0.81427,0.00044,4.75
475,F Behardien,0.53353,0.00044,4.66667
476,WD Parnell,2.60349,0.00045,4.64286
477,SW Tait,0.99884,0.00044,4.6
478,M Rawat,2.15191,0.00045,4.58333
479,DS Kulkarni,4.14051,0.00047,4.52174
480,DW Steyn,7.05801,0.00051,4.51351
481,B Kumar,12.66512,0.00062,4.5
482,Anureet Singh,1.59368,0.00045,4.5
483,K Kartikeya,0.34747,0.00044,4.5
484,SM Harwood,0.35383,0.00044,4.5
485,AA Kulkarni,0.40238,0.00044,4.5
486,M Markande,1.94845,0.00045,4.36364
487,Mohammed Siraj,4.51823,0.00047,4.36
488,AS Roy,1.09324,0.00044,4.33333
489,KJ Abbott,0.60306,0.00044,4.33333
490,Shivam Mavi,1.79287,0.00045,4.25
491,A Mithun,1.31769,0.00044,4.25
492,Avesh Khan,1.84493,0.00045,4.1
493,MM Sharma,4.84462,0.0005 ,4.0
494,UT Yadav,8.40838,0.00054,4.0
495,Basil Thampi,1.19899,0.00044,4.0
496,MA Wood,0.48429,0.00044,4.0
497,AJ Turner,1.00046,0.00044,4.0
498,CK Langeveldt,0.35922,0.00044,4.0
499,JPR Scantlebury-Searles,0.24759,0.00044,4.0
500,A Dananjaya,0.16925,0.00044,4.0
501,Akash Madhwal,0.17802,0.00044,4.0
502,D Ferreira,0.33309,0.00044,4.0
503,AA Chavan,0.55498,0.00044,4.0
504,Liton Das,0.12715,0.00044,4.0
505,RS Sodhi,0.23544,0.00044,4.0
506,RR Raje,0.90461,0.00044,4.0
507,A Tomar,0.16821,0.00044,4.0
508,AS Joseph,1.17447,0.00044,3.85714
509,VR Aaron,2.04523,0.00045,3.84615
510,AF Milne,0.93816,0.00044,3.83333
511,Umran Malik,0.80641,0.00044,3.83333
512,NT Ellis,0.83311,0.00044,3.8
513,I Udana,0.62382,0.00044,3.75
514,AS Rajpoot,1.10107,0.00045,3.71429
515,Imran Tahir,1.30908,0.00045,3.66667
516,GB Hogg,1.03415,0.00044,3.66667
