bowler,batsman,times
SM Curran,PD Salt,1
Arshdeep Singh,SS Iyer,1
AR Patel,SP Narine,1
AR Patel,PD Salt,1
LB Williams,RK Singh,1
N Thushara,PD Salt,2
N Thushara,A Raghuvanshi,1
N Thushara,SS Iyer,1
HH Pandya,SP Narine,1
PP Chawla,RK Singh,1
JJ Bumrah,Ramandeep Singh,1
JJ Bumrah,MA Starc,1
Naveen-ul-Haq,PD Salt,1
Ravi Bishnoi,SP Narine,1
Naveen-ul-Haq,AD Russell,1
Yudhvir Singh,A Raghuvanshi,1
Naveen-ul-Haq,RK Singh,1
Yash Thakur,SS Iyer,1
A Kamboj,SS Iyer,1
PP Chawla,VR Iyer,1
PP Chawla,AD Russell,1
T Natarajan,Rahmanullah Gurbaz,1
PJ Cummins,SP Narine,2
Shahbaz Ahmed,Rahmanullah Gurbaz,1
Z Khan,SC Ganguly,2
JH Kallis,RT Ponting,1
AA Noffke,DJ Hussey,1
RP Singh,BB McCullum,3
WPUJC Vaas,RT Ponting,1
WPUJC Vaas,WP Saha,1
PP Ojha,SC Ganguly,2
PP Ojha,Mohammad Hafeez,1
JDP Oram,BB McCullum,1
JDP Oram,RT Ponting,1
MS Gony,WP Saha,1
P Amarnath,DJ Hussey,1
Joginder Sharma,SC Ganguly,1
P Amarnath,Mohammad Hafeez,1
MS Gony,AB Agarkar,1
JDP Oram,M Kartik,1
Joginder Sharma,LR Shukla,1
SM Pollock,SC Ganguly,1
SM Pollock,BB McCullum,1
DJ Bravo,DB Das,1
ST Jayasuriya,DJ Hussey,1
ST Jayasuriya,RT Ponting,1
ST Jayasuriya,Mohammad Hafeez,1
ST Jayasuriya,AB Agarkar,1
CRD Fernando,M Kartik,1
Sohail Tanvir,Salman Butt,1
SR Watson,AB Agarkar,2
SK Trivedi,BJ Hodge,1
SK Warne,SC Ganguly,1
YK Pathan,LR Shukla,1
SK Trivedi,DJ Hussey,1
SK Trivedi,WP Saha,1
Sohail Tanvir,DB Das,2
Sohail Tanvir,Umar Gul,2
SR Watson,AB Dinda,1
S Sreesanth,SC Ganguly,1
IK Pathan,Mohammad Hafeez,1
IK Pathan,BJ Hodge,1
S Sreesanth,DB Das,2
VRV Singh,LR Shukla,2
Gagandeep Singh,DJ Hussey,1
DW Steyn,A Chopra,1
Z Khan,BJ Hodge,1
R Vinay Kumar,SC Ganguly,3
A Kumble,DJ Hussey,1
DW Steyn,T Taibu,1
DW Steyn,LR Shukla,1
P Kumar,M Kartik,1
WPUJC Vaas,Salman Butt,1
Y Venugopal Rao,A Chopra,1
DP Vijaykumar,SC Ganguly,1
RP Singh,T Taibu,1
PJ Sangwan,A Chopra,1
VY Mahesh,SC Ganguly,1
VY Mahesh,Salman Butt,1
PJ Sangwan,T Taibu,1
MF Maharoof,LR Shukla,1
MF Maharoof,DJ Hussey,1
SM Pollock,Salman Butt,1
SM Pollock,A Chopra,1
SM Pollock,DJ Hussey,1
SM Pollock,Mohammad Hafeez,1
DJ Bravo,WP Saha,1
RR Raje,LR Shukla,1
DJ Thornely,SC Ganguly,1
DJ Bravo,AB Agarkar,1
DJ Thornely,I Sharma,1
RR Raje,Shoaib Akhtar,1
M Ntini,Mohammad Hafeez,1
M Ntini,SC Ganguly,1
M Ntini,DB Das,1
M Ntini,DJ Hussey,1
L Balaji,Salman Butt,1
MM Patel,Mohammad Hafeez,1
MM Patel,Salman Butt,1
YK Pathan,DJ Hussey,1
SK Trivedi,SC Ganguly,1
Sohail Tanvir,LR Shukla,1
S Sreesanth,Salman Butt,1
PP Chawla,DJ Hussey,2
PP Chawla,WP Saha,1
JR Hopes,A Chopra,1
VRV Singh,Umar Gul,1
RP Singh,CH Gayle,1
Harmeet Singh,SC Ganguly,1
PP Ojha,A Chopra,1
PP Ojha,LR Shukla,1
SB Styris,BJ Hodge,1
SB Styris,MC Henriques,1
RP Singh,AB Agarkar,1
RP Singh,I Sharma,1
RP Singh,AB Dinda,1
VS Malik,BB McCullum,1
AD Mascarenhas,BB McCullum,1
SK Warne,CH Gayle,1
Kamran Khan,LR Shukla,1
MM Patel,BJ Hodge,1
Kamran Khan,SB Bangar,1
SK Warne,Yashpal Singh,1
Kamran Khan,SC Ganguly,1
Kamran Khan,I Sharma,1
Kamran Khan,CH Gayle,2
SL Malinga,BB McCullum,1
DJ Bravo,CH Gayle,1
AM Nayar,BJ Hodge,1
AM Nayar,SC Ganguly,1
AM Nayar,AN Ghosh,1
DJ Bravo,Yashpal Singh,1
Z Khan,LR Shukla,2
SL Malinga,BAW Mendis,1
SL Malinga,AB Dinda,1
KP Pietersen,BB McCullum,1
A Kumble,BJ Hodge,1
P Kumar,SC Ganguly,2
KP Appanna,CH Gayle,1
A Kumble,WP Saha,1
RE van der Merwe,LR Shukla,1
Z Khan,CH Gayle,2
GR Napier,MN van Wyk,1
SL Malinga,BJ Hodge,1
AM Nayar,BB McCullum,1
YA Abdulla,CH Gayle,1
PP Chawla,BB McCullum,2
PP Chawla,SC Ganguly,1
PJ Sangwan,BB McCullum,1
PJ Sangwan,BJ Hodge,1
A Nehra,MN van Wyk,1
A Nehra,BB McCullum,1
A Nehra,BJ Hodge,1
DP Nannes,MN van Wyk,1
A Mishra,Yashpal Singh,1
A Mishra,WP Saha,1
A Mishra,MC Henriques,1
DP Nannes,SC Ganguly,2
PJ Sangwan,AB Agarkar,1
R Vinay Kumar,AN Ghosh,1
B Akhil,DJ Hussey,1
A Kumble,AD Mathews,1
RJ Harris,BB McCullum,1
RG Sharma,SC Ganguly,1
RJ Harris,BJ Hodge,1
A Symonds,WP Saha,1
A Symonds,DJ Hussey,1
M Muralitharan,SC Ganguly,1
SB Jakati,BB McCullum,1
M Muralitharan,DJ Hussey,1
MM Patel,SC Ganguly,2
A Singh,BB McCullum,1
MM Patel,Yashpal Singh,1
J Botha,BJ Hodge,1
J Botha,DJ Hussey,1
J Botha,SS Shaikh,1
WPUJC Vaas,MK Tiwary,1
WPUJC Vaas,SC Ganguly,1
RP Singh,CA Pujara,1
Jaskaran Singh,BJ Hodge,1
RE van der Merwe,MK Tiwary,1
RE van der Merwe,BJ Hodge,1
JA Morkel,BJ Hodge,1
MS Gony,MK Tiwary,1
L Balaji,WP Saha,1
L Balaji,OA Shah,1
JM Kemp,SC Ganguly,1
JM Kemp,AD Mathews,1
JM Kemp,RS Gavaskar,1
M Muralitharan,LR Shukla,1
R Ashwin,SE Bond,1
L Balaji,M Kartik,1
YK Pathan,MK Tiwary,1
SK Trivedi,CA Pujara,1
YK Pathan,BJ Hodge,1
MM Patel,AD Mathews,1
Harbhajan Singh,SC Ganguly,1
Z Khan,OA Shah,1
SJ Srivastava,CH Gayle,1
SJ Srivastava,Mandeep Singh,1
IK Pathan,SC Ganguly,1
IK Pathan,AD Mathews,1
A Mishra,Mandeep Singh,1
AB McDonald,MK Tiwary,1
R Bhatia,CH Gayle,2
UT Yadav,DJ Hussey,1
UT Yadav,AD Mathews,1
PD Collingwood,AB Agarkar,1
AB McDonald,M Kartik,1
AB McDonald,CK Langeveldt,1
A Symonds,CH Gayle,1
A Symonds,CA Pujara,1
PP Ojha,MK Tiwary,1
Jaskaran Singh,AD Mathews,1
Jaskaran Singh,DJ Hussey,1
RS Bopara,SC Ganguly,1
J Theron,CH Gayle,1
IK Pathan,MK Tiwary,1
DL Vettori,SC Ganguly,1
DL Vettori,BB McCullum,2
JH Kallis,CH Gayle,1
JH Kallis,MK Tiwary,1
R Vinay Kumar,AD Mathews,1
A Kumble,BB McCullum,1
DW Steyn,WP Saha,1
JH Kallis,CA Pujara,1
R Vinay Kumar,AB Dinda,1
R Vinay Kumar,I Sharma,1
R Ashwin,CH Gayle,1
R Ashwin,BB McCullum,2
DE Bollinger,SC Ganguly,1
R Ashwin,DJ Hussey,1
SK Raina,MK Tiwary,1
SB Jakati,WP Saha,1
DE Bollinger,LR Shukla,1
M Muralitharan,AD Mathews,1
Kamran Khan,BB McCullum,1
R Sathish,SC Ganguly,1
