batsman,bowler,runs
DR Smith,M Ashwin,1
SK Raina,NLTC Perera,11
KD Karthik,NLTC Perera,6
KD Karthik,R Ashwin,11
KD Karthik,R Bhatia,5
KD Karthik,M Ashwin,7
KD Karthik,AB Dinda,4
SK Raina,AB Dinda,9
DJ Bravo,AB Dinda,6
RA Jadeja,AB Dinda,0
JP Faulkner,AB Dinda,1
JP Faulkner,NLTC Perera,8
Ishan Kishan,NLTC Perera,0
BB McCullum,MM Sharma,1
DR Smith,KC Cariappa,1
DJ Bravo,AR Patel,0
Ishan Kishan,KC Cariappa,7
RA Jadeja,Gurkeerat Singh,6
Ishan Kishan,Gurkeerat Singh,1
JP Faulkner,AR Patel,2
Ishan Kishan,MP Stoinis,4
JP Faulkner,MP Stoinis,9
JP Faulkner,KC Cariappa,4
JP Faulkner,MM Sharma,12
P Kumar,MM Sharma,7
P Kumar,Sandeep Sharma,2
JP Faulkner,Sandeep Sharma,5
P Kumar,MP Stoinis,6
DS Kulkarni,Sandeep Sharma,6
DR Smith,CH Morris,8
AJ Finch,S Nadeem,5
SK Raina,JP Duminy,3
RA Jadeja,Z Khan,13
RA Jadeja,S Nadeem,6
RA Jadeja,CH Morris,3
KD Karthik,Mustafizur Rahman,0
AJ Finch,Mustafizur Rahman,13
AJ Finch,BB Sran,26
AJ Finch,MC Henriques,30
AJ Finch,Yuvraj Singh,5
DJ Bravo,Yuvraj Singh,7
AJ Finch,A Nehra,2
DJ Bravo,A Nehra,7
DJ Bravo,Mustafizur Rahman,1
RA Jadeja,MC Henriques,9
RA Jadeja,A Nehra,6
P Kumar,Mustafizur Rahman,1
DR Smith,AD Russell,6
BB McCullum,AD Russell,1
DR Smith,M Morkel,5
BB McCullum,M Morkel,21
DR Smith,Shakib Al Hasan,15
DR Smith,PP Chawla,1
SK Raina,GB Hogg,1
KD Karthik,GB Hogg,17
KD Karthik,UT Yadav,15
SK Raina,M Morkel,18
KD Karthik,M Morkel,18
KD Karthik,AD Russell,9
SK Raina,AD Russell,0
KD Karthik,Shakib Al Hasan,1
AJ Finch,PP Chawla,15
RA Jadeja,GB Hogg,1
RA Jadeja,PP Chawla,8
DR Smith,STR Binny,8
BB McCullum,STR Binny,6
DR Smith,S Aravind,9
RA Jadeja,STR Binny,1
RA Jadeja,CJ Jordan,2
KD Karthik,CJ Jordan,5
DJ Bravo,YS Chahal,3
AD Nath,YS Chahal,1
AJ Finch,CJ Jordan,3
AD Nath,CJ Jordan,1
AJ Finch,VR Aaron,12
AD Nath,VR Aaron,1
P Kumar,YS Chahal,1
P Kumar,CJ Jordan,1
DS Kulkarni,CJ Jordan,4
PV Tambe,CJ Jordan,0
AJ Finch,V Kohli,9
PV Tambe,V Kohli,2
PV Tambe,VR Aaron,4
AJ Finch,CH Gayle,2
PV Tambe,CH Gayle,0
PV Tambe,S Aravind,1
AJ Finch,Sachin Baby,4
S Kaushik,Sachin Baby,0
DR Smith,AS Rajpoot,0
SK Raina,AS Rajpoot,17
BB McCullum,AS Rajpoot,6
KD Karthik,AS Rajpoot,1
AJ Finch,M Morkel,9
AJ Finch,AS Rajpoot,3
AJ Finch,JO Holder,2
SK Raina,JO Holder,10
RA Jadeja,JO Holder,1
RA Jadeja,YK Pathan,1
RA Jadeja,M Morkel,5
AJ Finch,R Vinay Kumar,0
SK Raina,R Vinay Kumar,10
BB McCullum,R Vinay Kumar,6
KD Karthik,R Vinay Kumar,1
DR Smith,Harbhajan Singh,19
DR Smith,JJ Bumrah,7
RA Jadeja,MJ McClenaghan,9
DR Smith,HH Pandya,5
RA Jadeja,HH Pandya,4
AJ Finch,Iqbal Abdulla,4
DR Smith,CJ Jordan,9
KD Karthik,STR Binny,2
ER Dwivedi,YS Chahal,5
ER Dwivedi,CJ Jordan,2
DJ Bravo,CJ Jordan,5
ER Dwivedi,SR Watson,12
P Kumar,SR Watson,0
DS Kulkarni,SR Watson,8
SB Jakati,CJ Jordan,1
ER Dwivedi,B Kumar,5
BB McCullum,TA Boult,8
BB McCullum,BCJ Cutting,6
AJ Finch,Bipul Sharma,2
AJ Finch,BCJ Cutting,5
RA Jadeja,TA Boult,3
AJ Finch,TA Boult,9
RA Jadeja,BCJ Cutting,1
DJ Bravo,BCJ Cutting,5
DJ Bravo,TA Boult,13
DJ Bravo,B Kumar,2
DS Kulkarni,B Kumar,3
