bowler,batsman,times
CV Varun,HV Patel,1
SP Narine,Shahbaz Ahmed,1
SN Thakur,MG Bracewell,1
Suyash Sharma,Anuj Rawat,1
Suyash Sharma,KD Karthik,1
Suyash Sharma,KV Sharma,1
CV Varun,Akash Deep,1
MA Wood,GJ Maxwell,1
MR Marsh,F du Plessis,2
Lalit Yadav,V Kohli,1
MR Marsh,MK Lomror,1
AR Patel,HV Patel,1
Kuldeep Yadav,KD Karthik,1
Akash Singh,V Kohli,1
TU Deshpande,MK Lomror,1
M Theekshana,GJ Maxwell,1
TU Deshpande,KD Karthik,1
M Pathirana,Shahbaz Ahmed,1
TU Deshpande,WD Parnell,1
M Pathirana,SS Prabhudessai,1
NT Ellis,F du Plessis,1
TA Boult,V Kohli,1
Sandeep Sharma,F du Plessis,1
R Ashwin,GJ Maxwell,1
YS Chahal,MK Lomror,1
YS Chahal,SS Prabhudessai,1
Sandeep Sharma,PWH de Silva,1
Sandeep Sharma,KD Karthik,2
Sandeep Sharma,Vijaykumar Vyshak,1
Suyash Sharma,F du Plessis,1
Suyash Sharma,Shahbaz Ahmed,1
CV Varun,MK Lomror,1
AD Russell,V Kohli,2
Suyash Sharma,SS Prabhudessai,1
AD Russell,PWH de Silva,1
CV Varun,KD Karthik,1
Ravi Bishnoi,V Kohli,1
K Gowtham,Anuj Rawat,1
Ravi Bishnoi,GJ Maxwell,1
A Mishra,SS Prabhudessai,1
A Mishra,F du Plessis,1
Naveen-ul-Haq,MK Lomror,1
Yash Thakur,KD Karthik,1
Naveen-ul-Haq,KV Sharma,1
Naveen-ul-Haq,Mohammed Siraj,1
MR Marsh,GJ Maxwell,1
Mukesh Kumar,V Kohli,1
KK Ahmed,KD Karthik,1
JP Behrendorff,Anuj Rawat,1
JP Behrendorff,GJ Maxwell,1
K Kartikeya,MK Lomror,1
C Green,F du Plessis,1
CJ Jordan,KD Karthik,1
KM Asif,V Kohli,1
KM Asif,F du Plessis,1
A Zampa,MK Lomror,1
A Zampa,KD Karthik,1
Sandeep Sharma,GJ Maxwell,1
T Natarajan,F du Plessis,1
Noor Ahmad,F du Plessis,1
Noor Ahmad,MK Lomror,1
Mohammed Shami,MG Bracewell,1
Yash Dayal,KD Karthik,1
I Sharma,R Dravid,1
AB Dinda,V Kohli,3
AB Agarkar,JH Kallis,1
AB Dinda,W Jaffer,1
SC Ganguly,MV Boucher,1
AB Agarkar,B Akhil,1
AB Agarkar,CL White,1
SC Ganguly,AA Noffke,1
SC Ganguly,Z Khan,1
LR Shukla,SB Joshi,1
DS Kulkarni,S Chanderpaul,1
Harbhajan Singh,R Dravid,3
ST Jayasuriya,LRPL Taylor,1
A Nehra,V Kohli,6
Harbhajan Singh,JH Kallis,1
SR Watson,R Dravid,1
SR Watson,S Chanderpaul,1
SK Trivedi,JH Kallis,2
MM Patel,LRPL Taylor,1
MM Patel,V Kohli,2
SK Warne,MV Boucher,1
SK Warne,SB Joshi,1
SR Watson,P Kumar,1
MS Gony,B Chipli,1
P Amarnath,W Jaffer,1
Joginder Sharma,JH Kallis,1
P Amarnath,LRPL Taylor,1
MS Gony,MV Boucher,1
MS Gony,R Dravid,1
JA Morkel,V Kohli,2
JDP Oram,Z Khan,1
JDP Oram,P Kumar,1
Joginder Sharma,DW Steyn,1
GD McGrath,P Kumar,2
GD McGrath,LRPL Taylor,1
GD McGrath,W Jaffer,1
GD McGrath,R Dravid,1
DL Vettori,JH Kallis,1
WPUJC Vaas,W Jaffer,1
SB Bangar,JH Kallis,1
DB Ravi Teja,Misbah-ul-Haq,1
SB Bangar,R Dravid,1
WPUJC Vaas,V Kohli,1
S Sreesanth,W Jaffer,1
S Sreesanth,CL White,1
IK Pathan,JH Kallis,1
IK Pathan,V Kohli,3
PP Chawla,Misbah-ul-Haq,1
PP Chawla,P Kumar,1
VRV Singh,DT Patil,1
PP Chawla,Z Khan,1
VRV Singh,R Dravid,1
IK Pathan,A Kumble,1
I Sharma,S Chanderpaul,1
Umar Gul,J Arunkumar,1
SC Ganguly,R Dravid,1
