batsman,bowler,runs
MP Stoinis,JP Behrendorff,15
MP Stoinis,CJ Jordan,31
N Pooran,Akash Madhwal,7
N Pooran,JP Behrendorff,1
KS Sharma,Harshit Rana,1
KS Sharma,VG Arora,2
Q de Kock,VG Arora,13
PN Mankad,Harshit Rana,13
PN Mankad,VG Arora,3
PN Mankad,CV Varun,10
MP Stoinis,VG Arora,6
KH Pandya,VG Arora,3
KH Pandya,N Rana,0
N Pooran,CV Varun,40
A Badoni,CV Varun,18
N Pooran,SP Narine,12
N Pooran,Suyash Sharma,11
A Badoni,Suyash Sharma,1
A Badoni,VG Arora,2
N Pooran,VG Arora,21
N Pooran,SN Thakur,33
Ravi Bishnoi,SN Thakur,2
Naveen-ul-Haq,SN Thakur,1
Naveen-ul-Haq,AD Russell,1
K Gowtham,AD Russell,11
KR Mayers,JP Behrendorff,16
PN Mankad,Akash Madhwal,2
KR Mayers,CJ Jordan,2
A Badoni,PP Chawla,2
A Badoni,Akash Madhwal,0
DJ Hooda,Akash Madhwal,2
DJ Hooda,PP Chawla,17
DJ Hooda,C Green,1
K Gowtham,C Green,1
K Gowtham,PP Chawla,1
Ravi Bishnoi,PP Chawla,1
Ravi Bishnoi,JP Behrendorff,2
Ravi Bishnoi,Akash Madhwal,0
Naveen-ul-Haq,Akash Madhwal,1
Mohsin Khan,CJ Jordan,0
Mohsin Khan,Akash Madhwal,0
D Padikkal,TA Boult,0
KL Rahul,N Burger,17
A Badoni,N Burger,0
DJ Hooda,N Burger,11
DJ Hooda,Avesh Khan,12
KL Rahul,Avesh Khan,35
N Pooran,Avesh Khan,6
N Pooran,N Burger,2
N Pooran,TA Boult,19
KH Pandya,Avesh Khan,4
Q de Kock,SM Curran,13
D Padikkal,Arshdeep Singh,0
D Padikkal,K Rabada,9
D Padikkal,SM Curran,0
MP Stoinis,Harpreet Brar,3
Q de Kock,Harpreet Brar,1
N Pooran,RD Chahar,20
Q de Kock,HV Patel,13
A Badoni,Harpreet Brar,2
N Pooran,Harpreet Brar,8
Mohsin Khan,SM Curran,2
Q de Kock,RJW Topley,16
D Padikkal,GJ Maxwell,3
D Padikkal,RJW Topley,2
D Padikkal,Mohammed Siraj,1
Q de Kock,Mayank Dagar,14
MP Stoinis,Mayank Dagar,4
Q de Kock,C Green,12
N Pooran,GJ Maxwell,0
N Pooran,Yash Dayal,6
N Pooran,RJW Topley,20
A Badoni,RJW Topley,0
A Badoni,Yash Dayal,0
D Padikkal,UT Yadav,4
KL Rahul,SH Johnson,10
D Padikkal,SH Johnson,3
MP Stoinis,UT Yadav,10
MP Stoinis,SH Johnson,4
MP Stoinis,DG Nalkande,16
KL Rahul,DG Nalkande,1
N Pooran,DG Nalkande,2
A Badoni,DG Nalkande,2
N Pooran,SH Johnson,8
A Badoni,SH Johnson,5
KH Pandya,SH Johnson,1
Q de Kock,KK Ahmed,15
KL Rahul,I Sharma,14
Q de Kock,I Sharma,16
D Padikkal,KK Ahmed,0
D Padikkal,I Sharma,3
MP Stoinis,Mukesh Kumar,1
A Badoni,Kuldeep Yadav,8
