batsman,bowler,runs
DA Miller,JP Behrendorff,2
A Manohar,RP Meredith,7
DA Miller,C Green,25
A Manohar,C Green,13
R Tewatia,JP Behrendorff,13
Rashid Khan,JP Behrendorff,13
WP Saha,Harshit Rana,3
Shubman Gill,Harshit Rana,19
WP Saha,AD Russell,1
Shubman Gill,AD Russell,10
HH Pandya,AD Russell,5
HH Pandya,Suyash Sharma,7
HH Pandya,Harshit Rana,1
V Shankar,Harshit Rana,1
DA Miller,Suyash Sharma,14
V Shankar,CV Varun,21
DA Miller,AD Russell,3
V Shankar,AD Russell,9
DA Miller,N Rana,2
V Shankar,N Rana,11
Shubman Gill,I Sharma,10
HH Pandya,I Sharma,6
V Shankar,I Sharma,4
A Manohar,Kuldeep Yadav,10
A Manohar,AR Patel,12
A Manohar,I Sharma,2
A Manohar,KK Ahmed,2
A Manohar,A Nortje,2
R Tewatia,A Nortje,18
R Tewatia,I Sharma,0
Rashid Khan,I Sharma,3
WP Saha,A Zampa,6
WP Saha,YS Chahal,8
WP Saha,R Ashwin,2
WP Saha,Yash Thakur,8
Shubman Gill,Yash Thakur,25
Shubman Gill,Ravi Bishnoi,16
Shubman Gill,KR Mayers,2
WP Saha,KR Mayers,13
Shubman Gill,Swapnil Singh,9
WP Saha,Swapnil Singh,7
HH Pandya,Yash Thakur,8
Shubman Gill,MP Stoinis,7
DA Miller,Yash Thakur,11
Shubman Gill,Akash Madhwal,32
WP Saha,Akash Madhwal,4
HH Pandya,Akash Madhwal,18
V Shankar,JP Behrendorff,18
V Shankar,Akash Madhwal,9
DA Miller,Akash Madhwal,8
V Shankar,CJ Jordan,2
R Tewatia,K Kartikeya,2
R Tewatia,PP Chawla,7
R Tewatia,CJ Jordan,3
R Tewatia,Akash Madhwal,2
Noor Ahmad,PP Chawla,1
Rashid Khan,PP Chawla,2
Noor Ahmad,K Kartikeya,0
AS Joseph,K Kartikeya,1
Rashid Khan,K Kartikeya,30
AS Joseph,JP Behrendorff,2
AS Joseph,Akash Madhwal,4
Rashid Khan,Akash Madhwal,1
AS Joseph,CJ Jordan,0
Rashid Khan,C Green,16
Shubman Gill,Fazalhaq Farooqi,24
Shubman Gill,AK Markram,12
B Sai Sudharsan,AK Markram,1
Shubman Gill,M Markande,22
