bowler,batsman,times
JD Unadkat,D Pretorius,1
Sandeep Sharma,RV Uthappa,1
Arshdeep Singh,MJ Santner,1
R Dhawan,S Dube,1
R Dhawan,MS Dhoni,1
Shahbaz Ahmed,RD Gaikwad,2
GJ Maxwell,RV Uthappa,1
GJ Maxwell,AT Rayudu,1
PWH de Silva,DP Conway,1
HV Patel,RA Jadeja,1
JR Hazlewood,MS Dhoni,1
HV Patel,D Pretorius,1
KK Ahmed,DP Conway,1
MR Marsh,S Dube,2
A Nortje,MM Ali,1
A Nortje,RV Uthappa,1
DR Sams,DP Conway,1
DR Sams,MM Ali,1
JJ Bumrah,RV Uthappa,1
RP Meredith,AT Rayudu,1
RP Meredith,S Dube,1
K Kartikeya,DJ Bravo,1
K Kartikeya,Simarjeet Singh,1
Ramandeep Singh,M Theekshana,1
RP Meredith,Mukesh Choudhary,1
Mohammed Shami,DP Conway,3
R Sai Kishore,MM Ali,1
AS Joseph,S Dube,1
Mohammed Shami,MS Dhoni,1
R Ashwin,DP Conway,1
OC McCoy,N Jagadeesan,1
OC McCoy,MM Ali,1
Rashid Khan,BA Stokes,1
J Little,AT Rayudu,1
AS Joseph,RD Gaikwad,1
AS Joseph,RA Jadeja,1
Mohammed Shami,S Dube,1
Ravi Bishnoi,RD Gaikwad,1
MA Wood,DP Conway,1
Ravi Bishnoi,S Dube,1
Ravi Bishnoi,MM Ali,2
Avesh Khan,BA Stokes,1
MA Wood,RA Jadeja,1
MA Wood,MS Dhoni,1
JP Behrendorff,DP Conway,1
PP Chawla,AM Rahane,2
K Kartikeya,S Dube,1
Sandeep Sharma,RD Gaikwad,1
R Ashwin,AM Rahane,2
R Ashwin,S Dube,2
A Zampa,MM Ali,2
YS Chahal,DP Conway,1
Mohammed Siraj,RD Gaikwad,1
PWH de Silva,AM Rahane,1
HV Patel,DP Conway,1
WD Parnell,S Dube,1
Vijaykumar Vyshak,AT Rayudu,1
GJ Maxwell,RA Jadeja,1
Umran Malik,RD Gaikwad,1
M Markande,AM Rahane,1
Suyash Sharma,RD Gaikwad,1
CV Varun,DP Conway,1
K Khejroliya,S Dube,1
K Khejroliya,RA Jadeja,1
A Zampa,DP Conway,1
A Zampa,RD Gaikwad,1
R Ashwin,AT Rayudu,1
K Yadav,S Dube,1
Sikandar Raza,RD Gaikwad,1
Arshdeep Singh,S Dube,1
RD Chahar,MM Ali,2
SM Curran,RA Jadeja,1
PP Chawla,RD Gaikwad,1
T Stubbs,AT Rayudu,1
Akash Madhwal,DP Conway,1
AR Patel,DP Conway,1
Kuldeep Yadav,MM Ali,1
Lalit Yadav,AM Rahane,1
MR Marsh,RA Jadeja,2
MR Marsh,MS Dhoni,1
CV Varun,AM Rahane,1
SN Thakur,DP Conway,1
VG Arora,RA Jadeja,1
C Sakariya,RD Gaikwad,1
KK Ahmed,S Dube,1
A Nortje,DP Conway,1
MM Sharma,RD Gaikwad,1
Noor Ahmad,S Dube,1
DG Nalkande,AM Rahane,1
Rashid Khan,AT Rayudu,1
MM Sharma,MS Dhoni,2
Mohammed Shami,RA Jadeja,1
Noor Ahmad,RD Gaikwad,1
Noor Ahmad,DP Conway,1
MM Sharma,AM Rahane,1
KV Sharma,R Ravindra,1
C Green,AM Rahane,1
C Green,DJ Mitchell,1
Rashid Khan,R Ravindra,1
R Sai Kishore,AM Rahane,1
SH Johnson,RD Gaikwad,1
Rashid Khan,S Dube,1
MM Sharma,Sameer Rizvi,1
MM Sharma,RA Jadeja,1
KK Ahmed,RD Gaikwad,1
KK Ahmed,R Ravindra,1
AR Patel,DJ Mitchell,1
Mukesh Kumar,AM Rahane,1
Mukesh Kumar,Sameer Rizvi,1
Mukesh Kumar,S Dube,1
B Kumar,R Ravindra,1
PJ Cummins,S Dube,1
JD Unadkat,AM Rahane,1
T Natarajan,DJ Mitchell,1
VG Arora,R Ravindra,1
SP Narine,DJ Mitchell,1
VG Arora,S Dube,1
G Coetzee,AM Rahane,1
S Gopal,R Ravindra,1
HH Pandya,RD Gaikwad,1
HH Pandya,DJ Mitchell,1
Mohsin Khan,R Ravindra,1
Yash Thakur,RD Gaikwad,1
KH Pandya,AM Rahane,1
MP Stoinis,S Dube,2
KH Pandya,Sameer Rizvi,1
MJ Henry,AM Rahane,1
Yash Thakur,DJ Mitchell,1
Mohsin Khan,RA Jadeja,1
B Kumar,AM Rahane,1
JD Unadkat,DJ Mitchell,1
Harpreet Brar,AM Rahane,1
Harpreet Brar,S Dube,1
RD Chahar,RA Jadeja,1
K Rabada,Sameer Rizvi,1
Arshdeep Singh,MS Dhoni,1
Arshdeep Singh,AM Rahane,1
RD Chahar,RD Gaikwad,1
RD Chahar,S Dube,1
HV Patel,DJ Mitchell,1
SM Curran,MM Ali,1
RD Chahar,MJ Santner,1
HV Patel,SN Thakur,1
HV Patel,MS Dhoni,2
UT Yadav,R Ravindra,1
S Sandeep Warrier,AM Rahane,1
MM Sharma,DJ Mitchell,1
MM Sharma,MM Ali,1
MM Sharma,S Dube,1
Rashid Khan,RA Jadeja,1
Rashid Khan,MJ Santner,1
R Ashwin,R Ravindra,1
YS Chahal,DJ Mitchell,1
N Burger,MM Ali,1
Avesh Khan,RA Jadeja,1
GJ Maxwell,RD Gaikwad,1
Yash Dayal,DJ Mitchell,1
LH Ferguson,AM Rahane,1
GJ Maxwell,R Ravindra,1
C Green,S Dube,1
Mohammed Siraj,MJ Santner,1
